id,student_id,lesson_id,group_id,date,status,minutes_late,marked_by_mentor_id,note
1,1,1,1,2026-02-03,absent_unexcused,0,14,Sababsiz
2,1,2,1,2026-02-05,present,0,14,
3,1,3,1,2026-02-07,present,0,14,
4,1,4,1,2026-02-10,present,0,14,
5,1,5,1,2026-02-12,present,0,14,
6,1,6,1,2026-02-14,present,0,14,
7,1,7,1,2026-02-17,present,0,14,
8,1,8,1,2026-02-19,present,0,14,
9,1,9,1,2026-02-21,present,0,14,
10,1,10,1,2026-02-24,present,0,14,
11,1,11,1,2026-02-26,present,0,14,
12,1,12,1,2026-02-28,present,0,14,
13,1,13,1,2026-03-03,present,0,14,
14,1,14,1,2026-03-05,present,0,14,
15,1,15,1,2026-03-07,present,0,14,
16,1,16,1,2026-03-10,present,0,14,
17,1,17,1,2026-03-12,present,0,14,
18,1,18,1,2026-03-14,late,8,14,
19,1,19,1,2026-03-17,present,0,14,
20,1,20,1,2026-03-19,present,0,14,
21,1,21,1,2026-03-24,late,20,14,
22,1,22,1,2026-03-26,present,0,14,
23,1,23,1,2026-03-28,present,0,14,
24,1,24,1,2026-03-31,late,5,14,
25,1,25,1,2026-04-02,present,0,14,
26,1,26,1,2026-04-04,present,0,14,
27,1,27,1,2026-04-07,absent_unexcused,0,14,Sababsiz
28,1,28,1,2026-04-09,late,10,14,
29,1,29,1,2026-04-11,late,5,14,
30,1,30,1,2026-04-14,absent_unexcused,0,14,Sababsiz
31,1,31,1,2026-04-16,present,0,14,
32,1,32,1,2026-04-18,present,0,14,
33,1,33,1,2026-04-21,present,0,14,
34,1,34,1,2026-04-23,present,0,14,
35,1,35,1,2026-04-25,present,0,14,
36,1,36,1,2026-04-28,present,0,14,
37,1,37,1,2026-04-30,present,0,14,
38,1,38,1,2026-05-02,present,0,14,
39,1,39,1,2026-05-05,late,20,14,
40,1,40,1,2026-05-07,late,9,14,
41,1,41,1,2026-05-12,present,0,14,
42,1,42,1,2026-05-14,present,0,14,
43,1,43,1,2026-05-16,present,0,14,
44,1,44,1,2026-05-19,present,0,14,
45,1,45,1,2026-05-21,present,0,14,
46,1,46,1,2026-05-23,present,0,14,
47,1,47,1,2026-05-26,present,0,14,
48,1,48,1,2026-05-28,present,0,14,
49,1,49,1,2026-05-30,present,0,14,
50,1,50,1,2026-06-02,absent_unexcused,0,14,Sababsiz
51,1,51,1,2026-06-04,present,0,14,
52,1,52,1,2026-06-06,present,0,14,
53,1,53,1,2026-06-09,present,0,14,
54,1,54,1,2026-06-11,present,0,14,
55,1,55,1,2026-06-13,absent_excused,0,14,Ota-ona xabar berdi
56,1,56,1,2026-06-16,present,0,14,
57,1,57,1,2026-06-18,present,0,14,
58,1,58,1,2026-06-20,present,0,14,
59,1,59,1,2026-06-23,present,0,14,
60,1,60,1,2026-06-25,present,0,14,
61,1,61,1,2026-06-27,absent_excused,0,14,Ota-ona xabar berdi
62,1,62,1,2026-06-30,present,0,14,
63,1,63,1,2026-07-02,present,0,14,
64,1,64,1,2026-07-04,present,0,14,
65,1,65,1,2026-07-07,present,0,14,
66,1,66,1,2026-07-09,present,0,14,
67,1,67,1,2026-07-11,late,21,14,
68,1,68,1,2026-07-14,present,0,14,
69,1,69,1,2026-07-16,present,0,14,
